1069,3,,
60,1.2,1.3,-0.59091276
47,2,1.5,-0.47096302
45,1,1.8,0
40,2,1.5,-0.33836411
40,2.8,1.3,0.55422925
40,0.8,1.15,0.90866541
50,0.45,1.35,-0.2915
57,0.8,1.15,0.55400817
47,1.8,1.2,0.59163134
47,0.45,1.15,0.9022
45,2.6,1.25,0.62591187
40,1.8,1.45,-0.32626162
45,0.45,1.55,-0.1956
35,2.2,1.5,0
43,0.4,1.8,0
40,3,2,0
35,0.45,1.3,0
47,0.8,1.7,0
50,1.4,1.1,0.61157134
50,1.4,1.6,-0.32775685
35,2.8,1.7,0
40,1.4,1.4,-0.26201485
43,0.6,1.2,-0.28539267
45,1.4,1.5,-0.38782945
50,1.8,1.2,0.62912868
45,0.45,1.7,0
45,2,1.5,-0.45933637
45,0.4,1.2,-0.27445029
40,1.6,1.65,0
53,1.2,1.3,-0.54933508
43,2.4,1.35,-0.54808
35,2.8,1.6,0.2062
50,1.6,1.1,0.63510758
57,0.45,1.25,-0.3661
57,0.45,1.35,0
40,2,1.7,0
40,1.4,1.25,0.32753711
45,2.4,1.7,-0.27619105
43,1.4,1.6,-0.26651113
43,0.45,1.5,-0.199
47,0.4,1.1,0.91323476
45,0.6,1.7,0
40,1.6,1,0.92470342
40,0.45,1.8,0
40,1.4,1.55,-0.1493016
40,0.45,1.3,-0.1734
43,2.8,1.4,-0.56107454
40,0.45,1.25,-0.1727
55,0.4,1.15,-0.3678825
47,2.2,1.9,0
45,1,2,0
45,0.2,1.4,-0.12686692
47,1.2,1.4,-0.43787406
53,1,1.1,0.58402421
40,2,1.45,-0.36816471
43,1.6,1.2,0.4874156
40,0.2,1.4,-0.11407968
45,1.6,0.9,0.93625024
55,0.8,1,0.92350281
30,0.45,1.9,0
50,1.2,1.5,-0.41433248
45,2.4,1.1,0.65031502
45,0.4,1.5,-0.19546317
50,0.8,1,0.92686599
45,0.8,1.1,0.9125499
55,0.45,1.4,0
40,1.2,1.6,0
53,0.2,1.15,0.8958223
45,2.2,1.6,-0.39238544
53,0.45,1.4,0
40,0.6,1.35,-0.16495784
65,0.45,1.4,0
40,0.6,1.5,-0.15339016
40,1.6,1.55,-0.20101735
40,1.8,1.9,0
43,2.2,1.5,-0.45345594
30,0.45,1.95,0
43,0.2,1.4,-0.12190483
43,2,1.6,-0.35147272
40,2.6,1,0.58991214
35,1.6,1.3,0
47,2,1.7,-0.23706907
40,1.4,1.3,-0.30870656
40,1.8,1.1,0.4542391
40,2.2,1.5,-0.37855268
50,2,1.25,-0.63044502
45,0.6,1.4,-0.28638267
35,0.8,1.7,0
43,2,1.7,-0.22867598
40,0.8,1.9,0
45,1,1,0.92883435
40,0.4,1.8,0
47,1.8,1.25,0.57791331
55,0.45,1.45,0
35,0.2,1.4,0
43,2.4,1.4,-0.52813714
47,0.2,1.5,-0.10462448
55,0.4,1.4,0
50,0.6,1.5,0
40,0.4,1.55,-0.14871008
50,1.4,1.7,0
53,0.4,1.2,-0.3379719
45,1.8,1.25,0.54459917
40,1.6,1.2,0.38770349
43,1.6,1.3,-0.45746405
45,1.2,1.05,0.9176753
43,0.8,1.5,-0.25240212
40,0.4,1.75,-0.10147953
50,1.4,1.25,-0.56844041
55,0.2,1.7,0
45,0.45,1.15,0.9046
47,0.6,1.1,0.91208798
55,0.4,1.1,0.90520432
35,2.4,1.5,0
40,2.4,1.6,-0.34350818
45,1.2,1.2,-0.46807521
50,1.4,1.2,0.55855505
50,1.6,1.3,-0.57495195
55,0.6,1.1,-0.48557664
53,1.2,1.2,-0.58755344
45,0.6,2,0
53,1,1.15,0.5683341
45,1.8,1.6,-0.36468065
50,0.6,1.6,0
47,1.8,1.75,-0.11603847
40,0.8,1.45,-0.14283638
65,0.4,1,0.91954091
50,1,1.1,0.54843308
40,0.2,1.3,-0.13046446
45,1.6,1.25,0.51692274
43,0.2,1.6,0
50,0.4,1.1,0.90999294
60,0.4,1.2,-0.36872022
50,0.4,1.2,-0.31907149
55,0.45,1.3,-0.3359
40,0.4,1.4,-0.16866782
53,1,1.4,-0.4617541
43,1.2,1.75,0
50,2,1.8,0
35,2.8,1.4,0.357
57,0.4,1.15,-0.37805983
35,1,1.3,0
35,1.6,1.4,0
43,2.2,1.3,0.54220775
40,0.4,1.35,-0.17223585
35,1,1.6,0
45,0.8,1,0.9306885
50,1.8,1.1,0.65534859
45,0.45,1.45,-0.2289
40,0.6,1.4,-0.16199416
55,0.4,1.6,0
60,0.8,1.15,0.57481854
40,2.2,1.4,0.4300944
65,0.6,1.4,0
45,1.8,1,0.61609483
40,0.45,2,0
40,3.2,1.5,-0.51203161
43,0.45,1.2,-0.2583
40,1,1.8,0
43,1.8,1.7,-0.2028615
40,3.2,1.7,-0.36275911
43,1.6,1.7,-0.18050417
40,1,1.2,-0.24616882
45,1.2,1.1,-0.49575922
53,0.6,1.2,-0.43358925
35,2,1.2,0.91
55,0.8,1.45,0
37,0.45,1.35,0
35,2.2,1.2,0.2431
45,2,2,0
45,1.6,1.1,0.56368029
55,1.2,1.5,0
60,0.8,1.35,0
60,0.8,1.4,0
45,0.45,1.3,-0.2698
55,1,1.15,0.58363529
55,0.4,1.3,-0.30761111
43,2.6,1.4,-0.54715986
40,2.6,1.75,-0.16064931
45,0.8,1.8,0
35,2.4,1.7,0
40,2.4,1.9,0
43,2.2,1.8,0
45,2,1.3,-0.5522875
53,0.8,1.05,0.9151373
50,2,1.3,-0.6112399
50,0.4,1.5,0
35,0.6,1.9,0
50,0.6,1.4,-0.33212371
35,0.45,1.35,0
45,0.2,1.3,-0.15004342
43,2,1.35,-0.49950114
45,2.6,1.1,0.66520181
45,1.4,1.25,-0.48663928
35,1.6,1.5,0
40,1.6,1.5,-0.24568931
40,1.8,1.6,-0.19792591
40,2.6,1.1,0.57453458
35,3,1.8,0
47,1.2,1.65,-0.27547658
47,2.2,1.25,0.61620001
35,2.6,1.2,0.3743
40,0.2,1.25,-0.13788595
43,0.6,1.8,0
45,1.8,1.5,-0.4384789
37,0.45,1.25,0
37,0.45,1.7,0
35,2,1.4,0
53,0.2,1.3,-0.16513123
40,2,1.35,0.41447957
45,2,1.2,0.58527181
65,0.2,1.4,0
40,3,1.5,-0.49752176
40,1.2,1.55,-0.10708412
45,2,1.7,-0.25803476
43,0.45,1.6,-0.1688
53,0.6,1.1,0.90590682
45,2,1.25,0.56938601
40,2.8,1.9,0
50,0.4,1.45,0
40,2.2,1.7,-0.1463994
57,1.2,1.1,0.65343044
47,1.6,1.3,-0.53797167
40,2.6,1.65,-0.33303377
35,0.6,2,0
60,0.45,1.1,-0.4441
57,0.8,1.35,-0.46111158
37,0.45,1.2,0.9057
60,1,1.15,0.62421937
35,2.4,1.3,0.2749
40,1.6,1.9,0
35,2.6,1.8,0
43,0.45,1.75,0
53,0.6,1.45,0
47,1.4,1.2,0.54182183
45,1.6,1.9,0
45,1.6,1,0.5869211
40,1.2,1.35,-0.23905369
40,0.6,1.3,-0.16726759
50,1.4,1.3,-0.55007181
40,0.8,1.4,-0.15521819
40,1.8,1.7,0
40,0.8,1.25,-0.18799257
40,1.8,1.55,-0.25310703
35,0.2,1.2,0.91
43,1.8,1.8,0
65,0.45,1.05,0.9085
57,0.2,1.15,-0.21703642
43,1.2,1.1,-0.44249641
35,0.8,1.2,0.9062
35,2.2,1.1,0.2801
53,1,1.5,0
40,0.2,1.35,-0.12245811
53,0.8,1.4,-0.41305078
63,0.45,1.1,-0.4593
40,2.4,1.8,0
43,2.2,1.35,-0.52526048
43,2,1.8,0
60,0.45,1.45,0
47,0.2,1.6,0
53,0.4,1.35,-0.27874492
40,2.6,1.2,0.55478794
40,2.8,1.4,0.52095279
60,0.4,1.1,0.90066852
43,0.6,1.15,0.9063657
60,0.6,1.15,-0.50020274
50,1.2,1.1,0.58365567
30,0.45,1.5,0
40,0.45,1.35,-0.1726
40,0.2,1.2,0.90189332
40,3.2,1.85,0
40,2.4,1.75,0
45,0.6,1.6,-0.21638298
43,2.8,1.8,0
45,0.45,1.6,-0.1763
40,2.8,1.55,-0.44552766
40,1.8,1.2,0.42778728
40,2.4,1.2,0.52775758
55,0.45,1.25,-0.3574
35,3,1.9,0
45,2,1.8,0
37,0.45,1.95,0
43,1.4,1.1,0.47857555
50,1.6,1.2,0.60872913
43,2.2,1.4,-0.50536895
40,2,1.2,0.46446273
45,2,1.6,-0.38109954
55,0.8,1.2,-0.51815959
55,0.4,1.35,0
35,1.4,1.7,0
40,2.6,1.45,-0.47259881
40,2,1.9,0
47,2.2,1.8,0
40,1.4,1,0.9279467
47,1,1,0.92734544
43,0.45,1.15,0.9074
40,1.4,1.35,-0.28712448
37,0.45,1.45,0
40,2.2,1.3,0.46833862
35,1.6,1.2,0
43,2.6,1.35,-0.56772708
40,1.4,1.6,0
50,2,1.5,-0.3753168
50,0.2,1.45,0
40,2.2,1.55,-0.34457797
35,2,1.7,0
47,1.2,1.3,-0.47758937
40,0.45,1.95,0
40,2.6,1.55,-0.41678284
65,0.6,1.1,0.5490941
35,0.45,1.85,0
35,1.4,1.6,0
57,0.4,1.1,0.90327911
45,0.6,1.3,-0.31320595
40,0.6,1.55,-0.14744231
35,0.2,1.9,0
